Company name,City / Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter / Decision-Maker,Growth Signals
Jivial Industries Limited,section title “History and Corporate Structure” on page no. 165 of this Draft Prospectus.,significant customers or the inability to procure new orders on a regular basis or at all may have an adverse effect on,www.bigshareonline.com; www.corporatemakers.in; www.jivialrailings.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Goldline Pharmaceutical Limited,"WORKING DAYS PRIOR TO THE BID/ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED (“BSE”) FOR THE PURPOSES OF UPLOADING O N THEIR WEBSITE IN ACCORDANCE WITH SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITAL AND DISCLOSURE REQUIREMENTS) REGULA TIONS, 2018, AS AMENDED (THE “SEBI ICDR REGULATIONS”).",the business of marketing pharmaceutical products under the brand name “Goldline”,www.bigshareonline.com; www.cumulativecapital.group; www.goldlinepharma.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,ISO certification mentioned
Datasol (Bangalore) Limited,"company, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.datasolindia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Sachi Shrikumar Lakhotia Company Secretary; Mr. Satish Reddy; Mr. Balakuntlam Sathyanarayana Sureshkumar; Mrs. Basavana Palli Ambika Soni; Mrs. Shyalaja Ramamurthy DETAILS OF OFFER TO; Mr. S. Ramakrishna Iyengar Email; Ms. Sachi Shrikumar Lakhotia; Mrs. Shyalaja Ramamurthy. Promoter Group Includes,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
VK TYRE INDIA LIMITED,"Pradesh, on December 15, 2025, vide Service Request Number (SRN) AB9977117. The said application is currently pending with the Registrar of Companies.",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.hemsecurities.com; www.vktyre.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Rahul Puri,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Highness Microelectronics Limited,Download failed (timeout or HTTP error).,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,
Emiac Technologies Limited,please refer to the chapter titled “History and Certain Corporate Matters” beginning on page 162 of the Draft Red Herring Prospectus.,See DRHP ‘Industry / Business overview’ section.,https://emiactech.com/; www.bigshareonline.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,capacity expansion; ISO certification mentioned; digital / hiring channel mention
PAN HR Solution Limited,"Nagar, Noida - 201301, Uttar Pradesh, India. “we”, “us” and “our” Unless the context otherwise indicates or implies, refers to our Company. “you”, “your” or “yours” Prospective investors in this Offer",See DRHP ‘Industry / Business overview’ section.,www.panhr.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Kwick Forensic Solutions Limited,Sales & Marketing (On-site),See DRHP ‘Industry / Business overview’ section.,https://ccvindia.com/mb/; https://kwickforensic.com/; www.bigshareonline.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Selvakumar Krithika; Ms. Harpreet Parashar Tel. No; Mr. Babu Rapheal C. Tel No,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Acme India Industries Limited,"filing of ADT-1, MGT-7 and in the drafting of Board Reports. List o f Delays/Errors mentioned below:",See DRHP ‘Industry / Business overview’ section.,https://acmeindia.co/; www.bigshareonline.com; www.hemsecurities.com,822.62 Lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure
Novus Loyalty Limited,"Companies, Central Processing Centre. The corporate identification number of our Company is U72900HR2011PLC127344.",See DRHP ‘Industry / Business overview’ section.,www.kfintech.com; www.novus-loyalty.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,hiring / recruitment
MRC Infracon Limited,"Registered Office: MRC Group,",See DRHP ‘Industry / Business overview’ section.,www.cumulativecapital.group; www.kfintech.com; www.mrcgroup.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Mukesh Ranjan; in dematerialized form,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Vectras Enprocon Limited,"2025. The corporate identification number of our Company is U45309 GJ2021PLC122680. Registered Office: Office No. 601-602, Amrakunj Avis, Near Tapovan Circle, Chandkheda, Ahmedabad – 382424, Gujarat. Website: www.vectrasgroup.com; E-Mail: compliance@vectrasgroup.com; Telephone No: +91 63531 52513; Company Secretary and Compliance Officer: Arpit Nikunjbhai Thakkar",See DRHP ‘Industry / Business overview’ section.,www.beelinemb.com; www.vectrasgroup.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: also directors on the Board; Mr. Nikhil Shah Upto; Mrs. Khushbu Shah SEBI Registration No. INZ,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Autofurnish Limited,"K-55, Udyog Nagar, Peeragarhi, Nangloi, West Delhi, New Delhi-110041",See DRHP ‘Industry / Business overview’ section.,www.autofurnish.com; www.novuscaps.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Srishti Narang Company Secretary; Mr. Puneet Arora; Mr. Ruppal Wadhwa DETAILS OF OFFER TO; Ms. Srishti Narang,capacity expansion; subsidiary / group structure
SAFETY CONTROLS & DEVICES LIMITED,"C-43/28/1 Nawal Kishore Road Hazratganj, Lucknow-226001, Uttar Pradesh, India N.A. Mr. Shiva Nigam, Company Secretary and Compliance Officer Tel. No.: +91 05224026070 Email: cs@safetygroup.in",See DRHP ‘Industry / Business overview’ section.,www.maashitla.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Shiva Nigam,subsidiary / group structure
Tipco Engineering India Limited,"taken by any regulatory authorities in future, for such delay filings/non filings with provisions of corporate or any other law could impact the financial position of the Company to that extent.",See DRHP ‘Industry / Business overview’ section.,https://tipcoengineering.com/; www.maashitla.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,ISO certification mentioned
Phychem Technologies Limited,"Gat No. 172, Khatwad, Dindori, Nashik, Mumbai, Maharashtra, India – 422004 Pooja Sharma, Company Secretary & Compliance Officer Email: cs@phychem.com Telephone: +91-95187-20873 www.phychem.com Promoter of the Company Umakant Savadekar, Ulka Umakant Savadekar, Nivrutti Sonu Savdekar and Vijaya Nivrutti Savdekar",See DRHP ‘Industry / Business overview’ section.,www.phychem.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,ISO certification mentioned
Rajnandini Fashion India Limited,"Area, Jaipur, Rajasthan, India - 302022. “we”, “us” or “our” Unless the context otherwise indicates or implies refers to our Company. “you”, “your” or “yours” Prospective investors in this Issue.",See DRHP ‘Industry / Business overview’ section.,https://rfil.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,ISO certification mentioned
Jain International Power Limited,"and takeover the existing proprietorship business of a sole proprietorship as going concern carried by Mr. Prakash Kumar Jain in the name and style as ‘M/s. Jain International’. As on date of this Draft Red Herring Prospectus the Corporate Identification Number of our Company is U31909WB2022PLC253094. For further details, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.in.mpms.mufg.com; www.jainint.com; www.shareindia.com,"18,988.77 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Juhi Gupta; Mrs. Juhi Gupta Company Secretary,hiring / recruitment
Sobo Films Holding Limited,CORPORATE OFFICE CONTACT PERSON CONTACT NUMBER AND EMAIL,See DRHP ‘Industry / Business overview’ section.,www.bigshareonlince.com; www.comfortsecurities.co.in; www.sobofilms.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Seemax Resources Limited,"Registered Office: 403, Mayfair Corporate Park, Behind DPS School, Kalali, Vadodara, Gujarat, India,390012; Tel. No.: +91-99040 89444; Email: info@seemaxresources.com; Website: www.seemaxresources.com; Contact Person: Mr. Pankaj Kewalramani, Company Secretary & Compliance Officer",See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.seemaxresources.com; www.wealthminenetworks.com,643.29 lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Amit Naldev Trivedi; Mr. Amit Naldev Trivedi Managing Director; Mr. Pankaj Kewalramani; Mr. Pankaj Kewalramani Company Secretary; Mr. Sanjay Chindu Patil Chief Financial; Mr. Srinivasan Venkateshmurthy Non; Mrs. Sapna Jain Non; Mrs. Aishwarya Singhvi Non; Mrs. Seema Trivedi Whole,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
GABION TECHNOLOGIES INDIA LIMITED,"Mumbai, Maharashtra to New Delhi and fresh certificate of incorporation was obtained from ROC, Delhi vide",See DRHP ‘Industry / Business overview’ section.,www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Puja Aggarwal; Ms. Puja Aggarwal Company Secretary; Mr. Mohit Baid SEBI Registration Number; engaged in a similar line of business,capex / capital expenditure; hiring / recruitment; subsidiary / group structure
Accretion Nutraveda Limited,2013: 1. Form DPT-3,See DRHP ‘Industry / Business overview’ section.,www.accretionnutraveda.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Harshad Nanubhai Rathod,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Shakti Polytarp Limited,company. Any termination of the relevant lease/ rent agreements could adversely affect our operations.,See DRHP ‘Industry / Business overview’ section.,www.nexgenfin.com; www.shaktipolytarp.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Ravi Singhal,capacity expansion
Shivchem Agro limited,See DRHP ‘General Information’ — address not matched by pattern.,See DRHP ‘Industry / Business overview’ section.,www.maashitla.com; www.shannon.co.in; www.shivchemagro.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Harikanta Overseas Limited,"Tel. No.: +919898682560; Website: www.harikantaoverseas.com; e-Mail: info@harikantaoverseas.com Contact Person: Swati Malu, Company Secretary and Compliance Officer",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.harikantaoverseas.com; www.ifinservices.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Hardik Gotawala; Mr. Abhishek Gotawala; Ms Carloss Pipe,ISO certification mentioned; subsidiary / group structure
Sai Urja Indo Ventures Limited,"UG-2 Office Floor, J. K. Complex, Nanaji Nagar Nagpur Road, Chandrapur, Maharashtra, India, 442401 Shop No G 14 and G 15 Jayanti Nagari IV, Besa Road Manish Nagar, Besa Road, Nagpur, Maharashtra – 440037, India",See DRHP ‘Industry / Business overview’ section.,https://suiv.co.in/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
INDO SMC Limited,Download failed (timeout or HTTP error).,,,,,DRHP: Ms. Avani Patel; Ms. Avani Patel Company Secretary; Mr. Mohit Baid SEBI Registration Number; Mr. Neel Niteshbhai Shah Managing Director; Mr. Nitin Jasvantbhai Patel Chairman; Mr. Chaitanya Patel Executive Director; Mrs. Riktabahen Sonawala Non-Executive Director; Mr. Shashwat Yatishkumar Shah Non-Executive Independent Director; Mr. Chintan Umeshbhai Bhatt Non-Executive Independent Director; Mr. Pramod Sultania SEBI Registration Number,
Elfin Agro India Limited,"in name and registered office of our company, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.elfinagroindia.com; www.finshoregroup.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Khushbu Sethi Company Secretary; Mr. Vimal Kumar Daga; Mr. Deepak Pal Daga; Mrs. Seema Daga; Mrs. Neetu Daga; Mr. S. Ramakrishna Iyengar Telephone; Ms. K. Sreepriya Telephone; Ms. Khushbu Sethi; Mr. Ratan Lal Bareth,ISO certification mentioned
Shree Balaji (Mala) Textiles Limited,Certain Corporate Matters” on page 153 of this Draft Red Herring Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.gyrcapitaladvisors.com; www.kfintech.com; www.malasaree.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Defrail Technologies Limited,"Manufactu ring Plant- 2 3,330 sq. yards 1,51503.33 sq. yards",See DRHP ‘Industry / Business overview’ section.,www.defrailtech.in; www.maashitla.com; www.nexgenfin.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Ms. Ashi Aggarwal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
HGI AUTOMOTIVES LIMITED,"alia, (i) forms in respect of the allotment of 128,300 and 65,000 equity shares on March 31, 1999, and (ii) filings of profit and loss accounts in Form 23ACA for the financial years 2005-06 to 2013-14. We have obtained a search report dated September 29, 2025, issued by B. S. Vyas & Associates, Practi",See DRHP ‘Industry / Business overview’ section.,www.hgiautomotives.com; www.kfintech.com; www.nirbhaycapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,capacity expansion; ISO certification mentioned; subsidiary / group structure
SPECIALITY MEDICINES LIMITED,Download failed (timeout or HTTP error).,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,
Yashhtej Industries (India) Limited,"Additional MIDC, Latur, Maharashtra - 413512 We / us / our Unless the context otherwise indicates or implies, refers to our Company",See DRHP ‘Industry / Business overview’ section.,www.erudorecapital.com; www.masserv.com; www.yashhtej.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,ISO certification mentioned
SJP ULTRASONICS LIMITED,"Maharashtra, Mumbai.",investors may not have access to comparable industry metrics when evaluating,www.kslindia.com; www.maashitla.com; www.sjpultrasonics.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
GRE RENEW ENERTECH LIMITED,"Plot no. 423, G.I.D.C.-II, Dediyasan, Mehsana-384002, Gujarat B-1104/1105, Empire Business Hub, Near Shukan Mall, Science City Road, Sola, Ahmedabad-380060, Gujarat Mr. Rohan Jayeshbhai Dhruve, Company Secretary and Compliance Officer Email: cs@greindia.com Tel No.: +91 9974039300 https://greindia.com",See DRHP ‘Industry / Business overview’ section.,https://greindia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Rohan Jayeshbhai Dhruve; Mr. Kunal Bansal Email; Mr. Mukul Agrawal Email Id; Mr Rohan Jayeshbhai Dhruve; Mr. Kamleshkumar Dahyalal Patel; Mr. Kirtikumar Kantilal Suthar; Mr. Mukeshkumar Prahladbhai Trivedi Promoters Group,capex / capital expenditure; ISO certification mentioned; subsidiary / group structure
Segmental Infrastructure Development Limited,"of the Company was shifted from the state of Delhi to State of Haryana vide Certificate of Incorporation dated September 12, 2023 issued by Registrar of Companies, Delhi",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.comInvestor; www.segmental.in; www.segmental.in/Promoter; www.shareindia.comInvestor,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
ATHARVA POLY-PLAST LIMITED,"Corporate Identification Number U25209PN2014PLC150099. For details of Incorporation, change of name, and registered office of our Company, please refer to the chapter titled “",See DRHP ‘Industry / Business overview’ section.,https://atharvapolyplast.in/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Chamelidevi Flour Mills Limited,"Any interest, penalty, or late fees, if levied, shall not be met from the IPO proceeds, including General Corporate Purposes, and",See DRHP ‘Industry / Business overview’ section.,https://in.mpms.mufg.com; https://www.cdfm.in; www.beelinemb.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,hiring / recruitment
Roopa Screen Limited,"carry out our business activities. In case of non -renewal of lease agreements or disp ute in relation to use of the said premise, our business and results of operations can be adversely affected.",See DRHP ‘Industry / Business overview’ section.,https://serencapital.in/; www.bigshareonline.com; www.roopaindia.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,facility expansion
H. R. Hygiene Products Limited,"no. 1 to 3, Village: Lothada, Rajkot - 360002, Gujarat, India. “we”, “us” and “our” Unless the context otherwise indicates or implies, refers to our Company “you”, “your” or “yours” Prospective Investors in this Offer",See DRHP ‘Industry / Business overview’ section.,www.hrhygiene.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Luxury Time Limited,Identification Number of our Company is U74900DL2008PLC182377. For further details please refer to t he chapter titled “History and Certain Corporate Matters” beginning on Page No. 132 of this Draft Red Herring Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.gyrcapitaladvisors.com; www.luxurytimeindia.com; www.masserv.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Sampark India Logistics Limited,"Plot No. 48, Bhule Ram Colony, Block B, Gali No. 7, Rangpuri Extension, Palam Airport, South West Delhi, New Delhi - 110037, India 17/3, Mathura Road, Ground & Second Floor, Faridabad City, Haryana-121002, India Ms. Ritika Bachhawat Company Secretary & Compliance Officer Email ID: compliance@silpl.com Tel No: +91 9355579723",See DRHP ‘Industry / Business overview’ section.,https://silpl.rathigroup.info; https://silpl.rathigroup.info/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Vama Wovenfab Limited,100% Book Built Issue,See DRHP ‘Industry / Business overview’ section.,www.vamawoven.com,Extract from restated financials in DRHP (pattern not matched).,DRHP references DSIR / industrial research — verify exact status in full document.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Exato Technologies Limited,"A-33, 02nd Floor, Sector -2, Noida, Gautam Buddha Nagar, Noida, Uttar Pradesh, India, 201301. Telephone: +91 9810430894; E-mail: compliance@exato.ai Ms. Geeta Jain Company Secretary & Compliance Officer https://www.exato.ai/ PROMOTERS OF OUR COMPANY: MR. APPUORV K SINHA AND MRS. SWATI SINHA DETAILS OF THE OFFER TYPE FRESH ISSUE SIZE",See DRHP ‘Industry / Business overview’ section.,https://www.exato.ai/; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Pajson Agro India Limited,"Contact Person Email and Telephone Website 510, 5th Floor, Pearl Omaxe Tower, Netaji Subhash Place, Pitampura, Shakur Pur I Block, North West Delhi, Delhi, India, 110034. Roopal Saxena , Company Secretary and Compliance Officer Email: investor@pajsonagro.com",See DRHP ‘Industry / Business overview’ section.,www.pajsonagro.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Oneindig Technologies Limited,"V-503, Atrium, VIVANTA by Taj Hotel Complex, Shooting Range Road, Suraj Kund, Faridabad-121009, Haryana, India C-48, 3rd Floor, DDA Sheds, Okhla Industrial Area Phase-1, South Delhi, New Delhi-110020 Mr. Sumit Das (Company Secretary and Compliance Officer) Email: info@oneindig.tech",See DRHP ‘Industry / Business overview’ section.,www.maashitla.com; www.oneindig.tech; www.shareindia.com,1 crore,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Astron Multigrain Limited,Download failed (timeout or HTTP error).,,,,,DRHP: Mr. Jenish Parshottambhai Khunt; Mr. Ikshit Shah; Mr. Yash Doshi Email,
Farm Peace Limited,Download failed (timeout or HTTP error).,,,,,DRHP: SANDIPKUMAR NARSINHBHAI PATEL; SUDHIR HARIBHAI PATEL; GIRISHBHAI; GIRISHBHAI FALJIBHAI PATEL,
Nanta Tech Limited,"Contact Person Email and Telephone Website Office No. 703, Skywalk the Element, Godrej Garden City, Gota, Ahmedabad, Daskroi, Gujarat, India,382481. Mr. Pintu Kumar Kuberbhai Chaudhari Company Secretary and Compliance Officer Email: investors@nantatech.com Telephone: +91 9227088102",See DRHP ‘Industry / Business overview’ section.,https://www.nantatech.com; www.bigshareonline.com; www.nantatech.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Pintu Kumar Kuberbhai Chaudhari; MAYANK A JANI AND JANI MANSIBEN MAYANKKUMAR; Mr. Parth Shah SEBI Registration No; Mr. Sagar Pathare SEBI Registration No; Mr. Pintu Kumar Kuberbhai Chaudhari Company Secretary; MAYANK A JANI AND JANI MANSIBEN MANYANKKUMAR,ISO certification mentioned
M.R.MANIVENI FOODS LIMITED,"Chennai, Andaman and Nicobar Islands, bearing Corporate Identity Number (",See DRHP ‘Industry / Business overview’ section.,https://www.mrgolddhall.com/; www.bigshareonline.com; www.capitalsquare.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: K R MANIKANDAN; M CHANDRA AND K SELVAM,capacity expansion; ISO certification mentioned
Injecto Polymers Limited,"taken on lease from a Promoter, Group Companies and a third party respectively.",See DRHP ‘Industry / Business overview’ section.,www.injectopolymers.in,"12,238.81 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Unisem Agritech Limited,"Village, Near KSRTC Bus Depot, Ranebennur, Haveri, Ranebennur, Karnataka, India, 581115. You’, ‘your’, or ‘yours’ Prospective Investor in this Issue.",See DRHP ‘Industry / Business overview’ section.,www.unisem.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: H N DEVAKUMAR; B H DEVASINGHNAIK; DHARANENDRA H GOUDA; Ms. Bobby Seth. Depositories Act The Depositories,subsidiary / group structure
Matangi Rubber Limited,"Subsequently, our Company was converted into a Public Limited Company under the Companies Act, 2013 pursuant to a special resolution passed by the shareholders of our Company on November 04, 2024 and the n ame was changed to “Matangi Rubber Limited” pursuant to a fresh Certificate of Incorporation dated November 26, 2024 issued by the Registrar of Companies, Central Processing Centre, bearing",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.matangirubber.com; www.sarthi.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Mohit Gupta,subsidiary / group structure
Digilogic Systems Limited,"company pursuant to special resolution passed by the shareholders at the EGM held on June 18, 2025, and consequently, the name of our Company was changed to “Digilogic Systems Limited” and a fresh certificate of incorporation consequent upon conversion from private company to public company was issued by Registrar of Companies, Central Processing Centre on July 01, 2025 bearing","technology-led company engaged in the design, development, integration, manufacturing, supply and support",www.bsesme.com; www.digilogicsystems.com; www.indorient.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Kameswara Rao Vempati; Mr. Madhusudhan Varma Jetty; Mrs. Radhika Varma Jetty,facility expansion
EverestIMS Technologies Limited,"“U72900KA2017PLC102256”. For details of Incorporation, change of name and registered office of our company, please refer to c hapter titled “",See DRHP ‘Industry / Business overview’ section.,https://everestims.com/; www.maashitla.com; www.oneviewadvisors.com,"5,778.09 Lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Sudhakar Aruchamy,subsidiary / group structure
Topsun Energy Limited,by the Company may result in regulatory or enforcement issues.,See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.ifinservices.in; www.topsunenergy.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Chintan Patel; Chanakyakumar Patel; Kalpeshbhai Patel; Kesul Patel,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Methodhub Software Limited,"Unit No. 109, 1 st Floor, Prestige Meridian – 1, No. 29, M.G. Road, Bengaluru – 560 001, Karnataka, India. Muthukrishnan Shanmuga Thevar- Company Secretary and Compliance Officer Telephone: +91 78248 23132 Email: cs@methodhub.in",See DRHP ‘Industry / Business overview’ section.,www.methodhub.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure
