Company Name,City,Industry Segment,Website,Revenue Band,CIN,ICP_Blended_Weighted_Score,ICP_Weighted_Score,Reject_Phase,Reject_Reason_Codes,Dedupe_Winner_Company,Dedupe_Basis
Fabtech Technologies Cleanrooms Limited,of our company is U74999MH2015PLC265137,unspecified_see_drhp,www.fabtechcleanroom.com; www.maashitla.com; www.vivro.net,₹100+ Cr (approx from lakhs),U74999MH2015PLC265137,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Justo Realfintech Limited,website_host
Farm Peace Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
FCML Distributors Limited,"OFFICE CONTACT PERSON TELEPHONE AND EMAIL WEBSITE A-217 Okhla Industrial Area Phase I, New Delhi- 110020, India",unspecified_see_drhp,www.fcmlindia.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,trading_import_export_name_keyword,,
Fine Refiners Limited,LOCATED),unspecified_see_drhp,https://in.mpms.mufg.com/; www.finerefiners.com; www.fintellectualadvisors.com,₹25–100 Cr (approx from lakhs),,35.0,35.0,step8,duplicate_dedupe|basis:website_host,R. P. Multimetals Limited,website_host
FINELISTINGS TECHNOLOGIES LIMITED,"G-07, Ground Floor, Ambience Mall, Nelson Mandela Road, Vasant Kunj, South West Delhi, New Delhi - 110070, India.",unspecified_see_drhp,https://www.finecars.co.in/; www.fedsec.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Fly-Hi Maritime Travels Limited,Our Company” on page no 166:,unspecified_see_drhp,www.corporatemakers.in; www.kfintech.com,₹1 Cr (stated),,50.0,50.0,step8,website_only_ancillary_domains,,
Focus Business Solution Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Fone4 Communications (India) Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
FourFront Limited,OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED “BSE”) FOR THE PURPOSE OF UPLOADING ON THEIR WEBSITE. FOR FURTHER DETAILS KINDLY REFER TO,unspecified_see_drhp,www.beelinemb.com; www.fourfront.in; www.in.mpms.mufg.com,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
FX Multitech Limited,"WITH WIDE CIRCULATION, AT LEAST TWO WORKING DAYS PRIOR TO THE BID/OFFER OPENING DATE AND SHALL BE MADE AVAILABLE TO SME PLATFORM OF BSE (“BSE SME ”), FOR THE PURPOSE OF UPLOADING ON THEIR RESPECTIVE WEBSITE IN ACCORDANCE WITH THE SEBI ICDR REGULATIONS, AS AMENDED.",unspecified_see_drhp,https://www.fxmultitech.com; www.in.mpms.mufg.com; www.oneviewadvisors.com,₹100+ Cr (approx from lakhs),,15.0,15.0,step8,duplicate_dedupe|basis:website_host,Qualitek Labs Limited,website_host
G M Polyplast Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
G. K. P. Printing & Packaging Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
GABION TECHNOLOGIES INDIA LIMITED,"Mumbai, Maharashtra to New Delhi and fresh certificate of incorporation was obtained from ROC, Delhi vide",unspecified_see_drhp,www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,website_only_ancillary_domains,,
Gabriel Pet Straps Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Galactico Corporate Services Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
GAME CHANGERS TEXFAB LIMITED,Working Days from the date of the Red Herring Prospectus until the Issue Closing Date.,unspecified_see_drhp,www.corpwis.com; www.skylinerta.com; www.tradeuno.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,KASLIWAL PROJECTS LIMITED,website_host
Gconnect Logitech and Supply chain Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
GEM Enviro Management Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Gensol Engineering Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Getalong Enterprise Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,www.getalongenterprise.com; www.linkintime.co.in; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Gian Life Care Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Gleam Fabmat Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Global Longlife Hospital and Research Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Global Ocean Logistics India Limited,Registration Centre bearing,unspecified_see_drhp,www.globalocean.in; www.ib.marwadichandaranagroup.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,JEE Pumps Limited,website_host
Goblin India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,www.bigshareonline.com; www.galacticocorp.com; www.goblinindia.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Neptune Logitek Limited,website_host
Goel Construction Company Limited,Structure” beginning on page no. 177 of the Draft Red Herring Prospectus.,unspecified_see_drhp,https://in.mpms.mufg.com/; www.goelconstruction.co.in; www.srujanalpha.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Popular Foundations limited,website_host
Goel Food Products Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Green Farm Bio-Gen  Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Greenhitech Ventures Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Greens Food Crafts India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
GRETEX CORPORATE SERVICES LIMITED,"of our Company, please refer to section titled ‘Our History and Certain Other Corporate Matters’ beginning on page 104 of this Draft Prospectus",unspecified_see_drhp,www.afsl.co.in; www.bigshareonline.com; www.gretexcorporate.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Gujarat Peanut and Agri Products Limited,"Peanut and Agri Products Limited” vide a fresh Certificate of Incorporation dated November 12, 2024 issued by the Registrar of Companies, Central Processing Centre. For further details of change in name and registered office of our company , please refer to section titled “",unspecified_see_drhp,www.finshoregroup.com; www.gujaratpeanut.com; www.integratedregistry.in,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
H.M. ELECTRO MECH LIMITED,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Hamps Bio Limited,"of our Company, see “History and Certain Corporate Matters” beginning on page 131 of this Draft Prospectus",unspecified_see_drhp,www.bigshareonline.com; www.hampsbio.com; www.ib.marwadichandaranagroup.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,JEE Pumps Limited,website_host
Harshdeep Hortico Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
HEALTHY LIFE AGRITEC LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Hemant Surgical Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Highness Microelectronics Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Home Zone Rubber Solutions Limited,"100 Sarjan Plaza Dr Annie Besant Road, Worli, Mumbai, Maharashtra- 400018 We/ us/ our Unless the context otherwise indicates or implies, refers to our Company",unspecified_see_drhp,www.homezone.co.in; www.horizonmanagement.in; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Humming Bird Education Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Hunger Choice Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
ICL Organic Dairy Products Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Icodex Publishing Solutions Limited,PDF parse error: PdfStreamError,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
IDENTIXWEB LIMITED,LOCATED) AT LEAST TWO WORKING DAYS PRIOR TO THE ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED (“BSE”) FOR THE PURPOSE OF UPLOADING ON ITS,unspecified_see_drhp,www.beelinemb.com; www.identixweb.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
IKEDA LIMITED,"W.E.A., Karol Bagh, New Delhi, Central Delhi, Delhi, India, 110005",unspecified_see_drhp,www.finkeda.com; www.ftfinsec.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,25.0,25.0,step8,duplicate_dedupe|basis:website_host,Kanone Technologies Limited,website_host
IKEDA LIMITED,"W.E.A., Karol Bagh, New Delhi, Central Delhi, Delhi, India, 110005",unspecified_see_drhp,www.finkeda.com; www.ftfinsec.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,25.0,25.0,step8,duplicate_dedupe|basis:website_host,Kanone Technologies Limited,website_host
INDO SMC Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
INDOBELL INSULATIONS LIMITED,and Certain Corporate Matters” beginning on page no 136 of the Draft Prospectus.,unspecified_see_drhp,www.finshoregroup.com; www.indobell.com; www.integratedregistry.in,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
INDONG TEA COMPANY LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Infonative Solutions Limited,PDF parse error: PdfStreamError,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
INNOKAIZ INDIA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Innovatus Entertainment Networks Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Insolation Energy Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Integrum Energy Infrastructure Limited,"Koramangala, 560034, Bangalore, Karnataka -560034, India",unspecified_see_drhp,www.beelinemb.com; www.integratedregistry.in; www.integrumenergy.in,₹5–25 Cr (approx from lakhs),,25.0,25.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
ISH TRAVEL & TOURS  LIMITED,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
ITCONS E-SOLUTIONS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Jain International Power Limited,and takeover the existing proprietorship business of a sole proprietorship as going concern carried by Mr,unspecified_see_drhp,www.in.mpms.mufg.com; www.jainint.com; www.shareindia.com,₹100+ Cr (approx from lakhs),U31909WB2022PLC253094,50.0,50.0,step8,duplicate_dedupe|basis:website_host,VVIP Infratech Limited,website_host
JAY AMBE SUPERMARKETS LIMITED,IS LOCATED) AT LEAST TWO WORKING DAYS PRIOR TO THE ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED “BSE” FOR THE PURPOSE OF UPLOADING ON THEIR WEBSITE. FOR FURTHER DETAILS KINDLY REFER TO CHAPTER TITLED “TERMS OF THE ISSUE” BEGINNING ON PAGE 319 OF THIS DRAFT RE...,lease agreements may have certain irregularities because of which we may be unable to effectively enforce,https://in.mpms.mufg.com/; www.beelinemb.com; www.citysquaremart.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Jay Kailash Namkeen Limited,Number U15549GJ2021PLC123708,unspecified_see_drhp,www.expertglobal.in; www.jaykailashnamkeen.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,U15549GJ2021PLC123708,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Royal Sense Limited,website_host
Jay Kailash Namkeen Limited,CORPORATE OFFICE CONTACT PERSON EMAIL & TELEPHONE,unspecified_see_drhp,www.expertglobal.in; www.jaykailashnamkeen.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Royal Sense Limited,website_host
JAYANT INFRATECH LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
JETMALL SPICES AND MASALA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Jinaam’s Dress Limited,Certain Corporate Matters” beginning on page 106 of this Draft Prospectus.,unspecified_see_drhp,www.bigshareonline.com; www.jinaam.comCorporate; www.smccapitals.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
Kahali Craftistics Limited,"Registration Centre pursuant to a certificate of incorporation dated January 19, 2023 bearing Corporate Identification Number (",unspecified_see_drhp,www.bigshareonline.com; www.fedsec.in; www.kahalicraftistics.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Kahan Packaging Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Kaka Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Kalyani Cast-Tech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,www.bigshareonline.com; www.gretexcorporate.com; www.kalyanicasttech.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Kanishk Aluminium India Limited,Processing Centre. Our Company’s Corporate Identity Number is,unspecified_see_drhp,https://kanishkindia.co.in/; www.kfintech.com; www.suncapitalservices.co.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Safecure Services Limited,website_host
Karbonsteel Engineering Limited,"TELEPHONE WEBSITE B-8; Ratnadeep Cosmopolitan Chs Ltd, 140-141 S",unspecified_see_drhp,https://serencapital.in/; https://www.karbonsteel.com/; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Recode Studios Limited,website_host
Karma Ecotech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Kasturi Metal Composite Limited,PDF parse error: PdfStreamError,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Kedarnath Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Kelson Foods Limited - (Withdrawn),Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Kenrik Industries Limited,"of Our Company, please refer to section titled “Our History and Certain Corporate Matters” beginning on page no",unspecified_see_drhp,https://tcagroup.in; www.kenrikindustries.net; www.skylinerta.com,₹25–100 Cr (approx from lakhs),,50.0,50.0,step8,duplicate_dedupe|basis:website_host,STITCHED TEXTILES LIMITED,website_host
Kesar India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Kesar India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Khazanchi Jewellers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Khyati Global Ventures Limited,117 of this Draft Prospectus.,unspecified_see_drhp,www.afsl.co.in; www.bigshareonline.com; www.kgv.co.in,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
KK Shah Hospitals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,www.fedsec.in; www.shahhospitalratla; www.shahhospitalratlam.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
KP Green Engineering Limited,LOCATED),unspecified_see_drhp,www.beelinemb.com; www.bigshareonline.com; www.kpgreenengineering.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Kranti Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Kratikal Tech Limited,"Deputy Registrar of Companies/ Registrar of Companies, Central Processing Centre",unspecified_see_drhp,https://kratikal.com; www.beelinemb.com; www.kfintech.com,₹5–25 Cr (approx from lakhs),U62099UP2013PLC060625,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Kuberan Global Edu Solutions Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Kumjai Farms Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Kwick Forensic Solutions Limited,Sales & Marketing (On-site),unspecified_see_drhp,https://ccvindia.com/mb/; https://kwickforensic.com/; www.bigshareonline.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Droneacharya Aerial Innovations Limited,website_host
L.K.Mehta Polymers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
LABDHI COMMERCIALS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unspecified_see_drhp,www.bigshareonline.com; www.focl.in; www.labdhi.co.in,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
Labelkraft Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Landmark Immigration Consultants Limited,over such premises,unspecified_see_drhp,www.kfintech.com; www.landmarkimmigration.com; www.shreni.in,₹3 Cr (stated),,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
LAPL Automotive Limited,Processing Centre,unspecified_see_drhp,https://laplautomotive.com/; www.maashitla.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,U34300MH2004PLC149728,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
LGT Business Connextions Limited,the Corporate Identification Number of our Company is U74999TN2016PLC112289. For further details of incorporation please refer to section titled “,unspecified_see_drhp,www.lgtholidays.com; www.markcorporateadvisors.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,U74999TN2016PLC112289,15.0,15.0,step8,duplicate_dedupe|basis:website_host,Panchatv Bharat limited,website_host
LIOTECH INDUSTRIES LIMITED,Registration Centre bearing,unspecified_see_drhp,www.kfintech.com; www.liotechindustries.in; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Logiciel Solutions Limited,The registered office of our company is situated at H,unspecified_see_drhp,www.fintellectualadvisors.com; www.logiciel.io; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,R. P. Multimetals Limited,website_host
Luxury Time Limited,Identification Number of our Company is U74900DL2008PLC182377,unspecified_see_drhp,www.gyrcapitaladvisors.com; www.luxurytimeindia.com; www.masserv.com,Extract from restated financials in DRHP (pattern not matched).,U74900DL2008PLC182377,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
M P K STEELS (I) LIMITED,Corporate Identification Number of the Company is U27109AS2005PLC007674,unspecified_see_drhp,www.gretexcorporate.com; www.maashitla.com; www.mpksteels.com,Extract from restated financials in DRHP (pattern not matched).,U27109AS2005PLC007674,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
M P K STEELS (I) LIMITED,100% Book Built Issue,unspecified_see_drhp,www.mpksteels.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
MAAGH ADVERTISING AND MARKETING SERVICES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Macfos Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Mafia Trends Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
MAGENTA LIFECARE LIMITED,"N P Patel Estate, A & T Padamla, Vadodara – 391350, Gujarat, India. NA Anita Kumawat , Company Secretary & Compliance Officer info@magentalifecare.com",unspecified_see_drhp,https://wisdom.cameoindia.com; https://www.magentamattresses.com; www.cameoindia.com; www.fedsec.in,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Mahamaya Lifesciences Limited,"TELEPHONE WEBSITE Unit No: DPT – 033, Ground Floor, Plot No: 79 – 80, DLF Prime Tower, F – Block, Okhla, Phase – 1 New Delhi – 110020, India",unspecified_see_drhp,https://www.mahamayalifesciences.com/; www.kfintech.com; www.oneviewadvisors.com,Extract from restated financials in DRHP (pattern not matched).,,80.0,80.0,step8,duplicate_dedupe|basis:website_host,Qualitek Labs Limited,website_host
Mahip Industries Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Maiden Forgings Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Mangal compusolution limited,Corporate Identity Number (,unspecified_see_drhp,www.jawacapital.in; www.kfintech.com; www.mangalcompusolution.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Riddhi Display Equipments Limited,website_host
Mangalam Alloys Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Manoj Ceramic Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Manoj Jewellers Limited,PERSON EMAIL AND TELEPHONE WEBSITE,unspecified_see_drhp,http://www.manojjewellerslimited.com; https://manojjewellerslimited; www.jawacapital.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Riddhi Display Equipments Limited,website_host
Marc Loire Fashions Limited,"Plot No. 426/1, First Floor, Rani Khera Road, Village Mundaka, West Delhi, Delhi, India, 110041. Vasant Kuber Soni Company Secretary & Compliance Officer Email ID: csvasant@marcloire.in Tel No: +91 62009 62002 https://marcloire.com/ NAMES OF PROMOTERS OF THE COMPANY Mr. Arvind Ka...",unspecified_see_drhp,https://marcloire.com/; www.finshoregroup.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,80.0,80.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Markolines Traffic Controls Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Maruti Interior Products Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Max Supreme Textiles Ltd,"of our company, please see “History and Certain Corporate Matters” beginning on page139",unspecified_see_drhp,www.fedsec.in; www.kfintech.com; www.maxsupremetextiles.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Mayank Cattle Food Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Meera Industries Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Mehul Colours Limited,"TELEPHONE WEBSITE Unit No - A 305,306, Kemp Plaza, Link Road, Chincholi Bunder Road, Mind Space, Near Evershine Mall, Malad West, Mumbai, Maharashtra - 400064 Shilpa Karan Mehta, Company Secretary & Compliance Officer E-mail: info@mehulcolours.com Tel No: +91-22-2872 3555 / 2872 ...",unspecified_see_drhp,https://serencapital.in/; https://www.mehulcolours.com; www.bigshareonline.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,Recode Studios Limited,website_host
Meson Valves India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Mish Designs Limited,"“we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company",unspecified_see_drhp,www.afsl.co.in; www.bigshareonline.com; www.kfintech.com; www.mishindia.com,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Misquita Engineering Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Mittal Sections Limited,with the Registrar of Companies,unspecified_see_drhp,www.bigshareonline.com; www.mittalsectionslimited.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Modern Diagnostic & Research Centre Limited,PDF parse error: PdfStreamError,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Modi's Navnirman Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Mopshop Distribution Limited,Registered Office: Gala No,unspecified_see_drhp,www.cameoindia.com; www.kslindia.com; www.mopshop.in,Extract from restated financials in DRHP (pattern not matched).,,15.0,15.0,step8,duplicate_dedupe|basis:website_host,SJP ULTRASONICS LIMITED,website_host
