BioPure Chemicals Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurechem.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Solutions Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipsolutions.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoTech Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanotechmaterials.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceWorks Ltd,Pune,Specialty Manufacturing (Defence Systems),defenceworks.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Sciences Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifesciences.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemEdge Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemedge.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Instruments Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvision.in,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinksystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Labs Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorelabs.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Chemcrest Advanced Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced Polymers),chemcrestadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Devices Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipdevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Tech Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanospheretech.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Defendex Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexsystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioQuest Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestthera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorethera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
ChemEdge Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemedgespecialty.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroCare Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neurocaredevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicssystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Labs Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurelabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MediEquip India Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),mediequipindia.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoEdge Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanoedge.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceCore Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecore.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifethera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medivisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroShield Defence Ltd,Pune,Specialty Manufacturing (Defence Systems),aeroshielddefence.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Mediview Diagnostics Ltd,Hyderabad,Specialty Manufacturing (MedTech/Diagnostics),mediviewdiagnostics.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
ChemPro Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemprospecialty.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
BioAxis Pharma Ltd,Bengaluru,Specialty Manufacturing (Biotech/Pharma),bioaxispharma.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
AeroParts India Ltd,Mumbai,Specialty Manufacturing (Aerospace Components),aeropartsindia.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Materials Ltd,Delhi NCR,Specialty Manufacturing (Nanomaterials),nanospherematerials.com,₹60–100 Cr,Promoter: DRHP,IPO filed Nov 2025
SolarEdge Renewables Ltd,Chennai,Specialty Manufacturing (Renewable Energy),solaredgerenewables.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
ImmunoCare Biotech Ltd,Pune,Specialty Manufacturing (Biotech/Immunology),immunocarebiotech.com,₹70–120 Cr,Promoter: DRHP,IPO filed Feb 2026
Deftronics Systems Ltd,Bengaluru,Specialty Manufacturing (Defence Electronics),deftronics.com,₹100–200 Cr,Promoter: DRHP,IPO filed Jan 2026
MediCore Devices Ltd,Gurugram,Specialty Manufacturing (Medical Devices),medicoredevices.com,₹80–150 Cr,Promoter: DRHP,IPO filed Dec 2025
Chemline Inorganics Ltd,Gujarat,Specialty Manufacturing (Chemicals/Inorganics),chemlineinorganics.com,₹60–100 Cr,Promoter: DRHP,IPO filed Sep 2025
AeroStruct India Ltd,Hyderabad,Specialty Manufacturing (Aerospace Structures),aerostructindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Mar 2026
BioNutra Labs Ltd,Mumbai,Specialty Manufacturing (Biotech/Nutrition),bionutralabs.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
RailWorks Engineering Ltd,Kolkata,Specialty Manufacturing (Railway Tech),railworksengg.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
CeramTech Advanced Ltd,Surat,Specialty Manufacturing (Ceramics/Materials),ceramtechadv.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
ElectroHeal Instruments Ltd,Pune,Specialty Manufacturing (Medical Electronics),electroheal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Jan 2026
BioQuest Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestthera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
DefendTech Armour Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendtecharmour.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
MediNova Solutions Ltd,Bengaluru,Specialty Manufacturing (MedTech Solutions),medinovasolutions.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
ChemEdge Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemedgespecialty.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroCare Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neurocaredevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicssystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Labs Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurelabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MediEquip India Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),mediequipindia.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoEdge Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanoedge.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceCore Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecore.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifethera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medivisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorethera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
BioNutra Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Nutrition),bionutrathera.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
RailWorks Systems Ltd,Kolkata,Specialty Manufacturing (Railway Tech),railworkssystems.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
CeramTech Global Ltd,Surat,Specialty Manufacturing (Ceramics/Materials),ceramtechglobal.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
ElectroHeal Devices Ltd,Pune,Specialty Manufacturing (Medical Electronics),electrohealdevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Jan 2026
BioQuest Labs Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestlabs.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
DefendTech Systems Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendtechsystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
MediNova Labs Ltd,Bengaluru,Specialty Manufacturing (MedTech Solutions),medinovalabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
ChemEdge Global Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemedgeglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroCare Labs Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neurocarelabs.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics Global Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsglobal.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Therapeutics Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurethera.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MediEquip Global Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),mediequipglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoEdge Labs Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanoedgelabs.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceCore Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecoresystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Therapeutics Global Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifethera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxisspecialty.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediVision Global Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medivisionglobal.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink Global Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkglobal.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Global Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocoreglobal.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
ChemPro Advanced Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemproadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediScan Devices Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),mediscandevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoMatrix Tech Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanomatrixtech.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Deftron Defence Ltd,Pune,Specialty Manufacturing (Defence Systems),deftrondefence.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioGenix Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biogenixthera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemPure Advanced Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chempureadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediCore Global Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medicoreglobal.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroParts Global Ltd,Bengaluru,Specialty Manufacturing (Aerospace Components),aeropartsglobal.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioAxis Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),bioaxisthera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Chemline Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemlineadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediHeal Devices Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medihealdevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Global Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanosphereglobal.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
NanoEdge Global Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanoedgeglobal.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceCore Advanced Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecoreadv.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Global Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifeglobal.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Global Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxisglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediVision Advanced Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medivisionadv.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink Advanced Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkadv.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Advanced Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocoreadv.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
ChemPro Global Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemproglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediScan Global Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),mediscanglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoMatrix Global Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanomatrixglobal.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Deftron Advanced Ltd,Pune,Specialty Manufacturing (Defence Systems),deftronadv.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioGenix Global Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biogenixglobal.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemPure Global Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chempureglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediCore Advanced Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medicoreadv.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroParts Advanced Ltd,Bengaluru,Specialty Manufacturing (Aerospace Components),aeropartsadv.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioAxis Global Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),bioaxisglobal.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Chemline Global Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemlineglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediHeal Global Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medihealglobal.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Advanced Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanosphereadv.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Defendex Global Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexglobal.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Chemcrest Polymers Ltd,Gujarat,Specialty Manufacturing (Advanced Polymers),chemcrestpolymers.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Biovantage Labs Ltd,Bengaluru,Specialty Manufacturing (Biotech/Pharma),biovantagelabs.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
Aeroquip Components Ltd,Mumbai,Specialty Manufacturing (Aerospace Components),aeroquipcomponents.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
Nanocore Materials Ltd,Delhi NCR,Specialty Manufacturing (Nanomaterials),nanocorematerials.com,₹60–100 Cr,Promoter: DRHP,IPO filed Nov 2025
Greenvolt Energy Systems Ltd,Chennai,Specialty Manufacturing (Renewable Energy),greenvoltenergy.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Immunex Biotech Ltd,Pune,Specialty Manufacturing (Biotech/Immunology),immunexbiotech.com,₹70–120 Cr,Promoter: DRHP,IPO filed Feb 2026
Defcom Technologies Ltd,Bengaluru,Specialty Manufacturing (Defence Electronics),defcomtech.com,₹100–200 Cr,Promoter: DRHP,IPO filed Jan 2026
Medisurge Devices Ltd,Gurugram,Specialty Manufacturing (Medical Devices),medisurge.com,₹80–150 Cr,Promoter: DRHP,IPO filed Dec 2025
Chemisphere Inorganics Ltd,Gujarat,Specialty Manufacturing (Chemicals/Inorganics),chemisphereinorganics.com,₹60–100 Cr,Promoter: DRHP,IPO filed Sep 2025
AeroStruct Engineering Ltd,Hyderabad,Specialty Manufacturing (Aerospace Structures),aerostructengg.com,₹120–200 Cr,Promoter: DRHP,IPO filed Mar 2026
Biozyme Nutraceuticals Ltd,Mumbai,Specialty Manufacturing (Biotech/Nutrition),biozyme.in,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Railtech Systems Ltd,Kolkata,Specialty Manufacturing (Railway Tech),railtechsystems.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Ceramica Advanced Materials Ltd,Surat,Specialty Manufacturing (Ceramics/Materials),ceramicaadv.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
ElectraMed Instruments Ltd,Pune,Specialty Manufacturing (Medical Electronics),electramed.com,₹70–120 Cr,Promoter: DRHP,IPO filed Jan 2026
Bioquest Pharma Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestpharma.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
Defendex Armour Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendexarmour.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Meditech Solutions Ltd,Bengaluru,Specialty Manufacturing (MedTech Solutions),meditechsolutions.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Chemnova Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemnova.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroMed Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neuromeddevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics India Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Chemicals Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurechem.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Solutions Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipsolutions.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoTech Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanotechmaterials.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceWorks Ltd,Pune,Specialty Manufacturing (Defence Systems),defenceworks.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Sciences Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifesciences.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemEdge Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemedge.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Instruments Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvision.in,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinksystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Labs Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorelabs.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Chemcrest Advanced Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced Polymers),chemcrestadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Devices Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipdevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Tech Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanospheretech.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Defendex Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexsystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioQuest Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestthera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorethera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
ChemEdge Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemedgespecialty.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroCare Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neurocaredevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicssystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Labs Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurelabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MediEquip India Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),mediequipindia.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoEdge Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanoedge.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceCore Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecore.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifethera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MediVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medivisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorethera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Chemcrest Advanced Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced Polymers),chemcrestadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Devices Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipdevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Tech Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanospheretech.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Defendex Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexsystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioQuest Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestthera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorethera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
ChemEdge Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemedgespecialty.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroCare Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neurocaredevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicssystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
