Company Name,City/Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter/Decision-Maker,Growth Signals,Source
Deepak Chemtex Limited,"Aawashi, 28/1A, A/P Adgul Aawashi, Lote, Ratnagiri, Ratnagiri, Maharashtra, India, 415722. Sonam Sharma Company Secretary & Compliance Officer E-mail: info@deepakchemtex.in Tel No: +91 88706 82632 Website: www.deepakchemtex.in",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.deepakchemtex.in; www.hemsecurities.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,ISO certification mentioned,BSE DRHP
Defcom Technologies Ltd,Bengaluru,Specialty Manufacturing (Defence Electronics),defcomtech.com,₹100–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Jan 2026,data.csv
DefenceCore Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecore.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
DefenceCore Advanced Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecoreadv.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
DefenceCore Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defencecoresystems.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
DefenceWorks Ltd,Pune,Specialty Manufacturing (Defence Systems),defenceworks.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Defendex Armour Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendexarmour.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Defendex Global Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexglobal.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Defendex Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexsystems.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
DefendTech Armour Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendtecharmour.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
DefendTech Systems Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendtechsystems.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Defrail Technologies Limited,"Manufactu ring Plant- 2 3,330 sq. yards 1,51503.33 sq. yards",See DRHP ‘Industry / Business overview’ section.,www.defrailtech.in; www.maashitla.com; www.nexgenfin.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Ms. Ashi Aggarwal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Deftron Advanced Ltd,Pune,Specialty Manufacturing (Defence Systems),deftronadv.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Deftron Defence Ltd,Pune,Specialty Manufacturing (Defence Systems),deftrondefence.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Deftronics Systems Ltd,Bengaluru,Specialty Manufacturing (Defence Electronics),deftronics.com,₹100–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Jan 2026,data.csv
Desco Infratech Limited,"in the same building i.e., A -703, Swastik Universal, Next to Valentine Theatre, Dumas Road, Umra, Surat -395007, Gujarat, India (Area",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.descoinfra.co.in; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Gandharva Javanika; Ms. Sonal Jhaveri; Ms. Sonali Jhaveri; Ms. Prinkle Jain; Mr. Pankaj Pruthu Desai; Mr. Pankaj Pruthu Desai Chairman; Mr. Parth Shah Website; Mr. Babu Rapheal C. SEBI Registration No,subsidiary / group structure,BSE DRHP
Dev Labtech Venture Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Pratik Ashokbhai Patel; Mr. Nikhil Shah Email; Mr. Shanti Gopalkrishnan Email; Mr. Jerambhai Lavjibhai Donda; Mrs. Labhuben Jerambhai Donda; Mr. Jay Jerambhai Donda For; Mr. Arunava Raha; Mr. Jerambhai Patel; Mrs. Vimlaben Bhlani; Mrs. Gauriben Bhlani Stakeholders Relationship Committee,Not assessed (no machine-readable text).,BSE DRHP
Devson Catalyst Limited,"2025. Consequently, the name of Company changed from “Devson Catalyst Private Limited” to “Devson Catalyst Limited”. The Corporate Identification Number of the Company is U31300GJ2004PLC044722.",See DRHP ‘Industry / Business overview’ section.,www.devsongroup.com; www.in.mpms.mufg.com; www.jjipoadvisors.com,"3,253.15 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Dhara Rail Projects Ltd,Gujarat,Specialty Manufacturing (Rail Infra),dhararail.com,₹100–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
Dharni Capital Services Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Hemant Dharnidharka; Mrs. Preeti Saraogi DETAILS OF OFFER TO; Mr. Jinesh Doshi Email; Mr. R.D. Ramasamy Email; Mr. Mayank Mundhra; Mrs. Preeti Saraogi DETAILS OF ISSUE INITIAL; Mr. Hemant Dharnidharka Materiality Policy; Mrs. Preeti Saraogi. For; Mrs. Preeti Saraogi,Not assessed (no machine-readable text).,BSE DRHP
Dhaval Packaging Limited,Download failed (timeout or HTTP error).,,,,,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,,BSE DRHP
Dhillon Freight Carrier Limited,"– Kolkata. For further details of change in name and registered office of our company, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.dfclogistics.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Sneha Agarwal; Mr. S. Ramakrishna Iyengar KFIN TECHNOLOGIES LIMITED; Mr. Dhillon. Subsequently; Mr. Karan Singh Dhillon; Mrs. Rucheka Kothari; Mr. Javed Anw; Mr. Javed Anwar; Mr. Karamveer Dhillon,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Dhnawel Hybrid Seeds Limited,Corporate Identification Number of our Company is U46101GJ2024PLC148851.,See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.dhanwelseeds.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Kishankumar Gordhanbhai Meghani Chairman; Mr. Nikunj Mansukhlal Suvagiya Non; Mr. Sudhir Mohanbhai Pipaliya Non; Mr. Vimal Mansukhbhai Vekariya Whole; Ms. Dixita Rajendrasinh Chauhan Chief Financial; Ms. Keshvi Akshay Barasiya Non; Ms. Parul Agarwal; Ms. Parul Agarwal Company Secretary,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Dhyaani Tile and Marblez Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Foram Ajmeri; Mr. Chintan Nayan Bhai Rajyaguru Nomination; Mr. Chintan Nayan Bhai Rajyaguru Promoter Group; Mr. Chintan Nayan Bhai Rajyaguru SIZE OF,Not assessed (no machine-readable text).,BSE DRHP
Digilogic Systems Limited,"company pursuant to special resolution passed by the shareholders at the EGM held on June 18, 2025, and consequently, the name of our Company was changed to “Digilogic Systems Limited” and a fresh certificate of incorporation consequent upon conversion from private company to public company was issued by Registrar of Companies, Central Processing Centre on July 01, 2025 bearing","technology-led company engaged in the design, development, integration, manufacturing, supply and support",www.bsesme.com; www.digilogicsystems.com; www.indorient.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Kameswara Rao Vempati; Mr. Madhusudhan Varma Jetty; Mrs. Radhika Varma Jetty,facility expansion,BSE DRHP
Diksha Polymers Ltd,Ahmedabad,Specialty Manufacturing (Plastics),dikshapolymers.com,₹40–80 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",DRHP: Mrs. Anjana Mandelia. For,IPO filed Aug 2025,data.csv + BSE DRHP
Dindigul Farm Product Limited,Identification Number of our company is U15200TZ2010PLC016407.,See DRHP ‘Industry / Business overview’ section.,www.beelinemb.com; www.ennutrica.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Gurunathan Uma Kanth Narayanan PROMOTERS OF,subsidiary / group structure,BSE DRHP
DIPNA PHARMACHEM LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Khushboo Jethaliya; Mr. Keyur Dipakkumar Shah Type Fresh Issue; Mr. Keyur Shah Promoter Group Companies; Ms. Khushboo Jethaliya. Chief Financial Officer; Mr. Keyur Parmar. Act; Mr. Keyur Shah. For,Not assessed (no machine-readable text).,BSE DRHP
DJ Mediaprint & Logistics Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Khushboo Mahesh Lalji; Mr. Dinesh Muddu Kotian; Mr. Santhosh Muddu Kotian. Promoter Group Includes; Mr. Dhanraj Dayanand Kunder,Not assessed (no machine-readable text).,BSE DRHP
DMR HYDROENGINEERING & INFRASTRUCTURES LIMITED,"+91 1294360445; Email Id: investors@dmrengineering.net Website: www.dmrengineering.netContact Person: Mayank, Company Secretary and Compliance Officer",See DRHP ‘Industry / Business overview’ section.,www.dmrengineering.net; www.dmrengineering.netContact; www.shreni.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Krunal Pipalia SEBI Registration Number; Subhash Chander Mittal; Neelam Mittal,ISO certification mentioned,BSE DRHP
DNV Food Products Ltd,Gujarat,Specialty Manufacturing (Food Processing),dnvfoods.com,₹40–70 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Dove Soft Limited,"OFFICE CONTACT PERSON EMAIL & TELEPHONE WEBSITE Office No. 1101, DLH Park, Opp. MTNL, Goregoan West Mumbai- 400062, Maharashtra, India NA Archit Tundia, Company Secretary and Compliance Officer secretarial@dove-soft.com & +91 9321938063 www.dovesoft.io",See DRHP ‘Industry / Business overview’ section.,www.dovesoft.io,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Droneacharya Aerial Innovations Limited,"Karnataka. The Corporate Identification Number of our Company is U29308KA2017PLC101287. For further details of change in name and change in Registered Office of our Company, please refer to section titled ‘",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.ccvindia.com; www.droneacharya.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Mukula Jayanat Joshi; Ms. Mukula Jayant Joshi; Mr. Prateek Srivastava; Mrs. Nikita Srivastava; Mrs. Nikita Srivastava. For,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
DSM Fresh Foods Limited,"consequent upon conversion dated July 09, 2024, bearing",See DRHP ‘Industry / Business overview’ section.,https://www.zappfresh.com/; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. DEEPANSHU MANCHANDA; Mrs. PRIYA AGGARWAL ADDENDUM TO THE DRAFT; Mr. Rajveer Singh Website; Mr. Mukul Agrawal CIN; Mr. Deepanshu Manchanda; Mrs. Priya Aggarwal. For; Mr. Sandeep Kumar; Mr. Sajit Kumar; Ms. Shruti Gochhwal; Mr. Mange Ram Gochhwal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Dudani Retail Limited,and Corporate Structure” beginning on page no 130 of the Draft Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.divenaworld.com; www.finshoregroup.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Ramgopal Sharma Company Secretary; Mr. Akshay Dudani; Mrs. Charu Dudani DETAILS OF OFFER TO; Mr. Mukul Agarwal Email; Akshay Dudani; Charu Dudani,ISO certification mentioned,BSE DRHP
Durgadevi Raiment Limited,"A5, Calcutta Land Premises No. E3-509/New, Shibrampur Road, PO- Ganipur, PS-Maheshtala, Kolkata - 700141, West Bengal, India. N.A. Ms. Nikita Agarwal, Company Secretary and Compliance Officer E-mail: info@ddrl.in",See DRHP ‘Industry / Business overview’ section.,www.ddrl.in; www.inventuremerchantbanker.com; www.purvashare.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,ISO certification mentioned,BSE DRHP
E To E Transportation Infrastructure Ltd,Delhi NCR,Specialty Manufacturing (Infrastructure/Transportation),etoeinfra.com,₹100–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
Earkart Limited,"U74999DL2021PLC399313. For further information, please refer chapter “",See DRHP ‘Industry / Business overview’ section.,www.earkart.in; www.sarthiwm.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Earthstahl & Alloys Limited,Download failed (timeout or HTTP error).,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,,BSE DRHP
Earum Pharmaceuticals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Parsotam Kantilal Purohit; Mr. Bhumishth Narendrabhai Patel; Mrs. Payal Bhumishth Patel THE ISSUE INITIAL; Mrs. Payal Bhumishth Patel. For; Mrs. Payal Bhumishth Patel Issue Rela; Mrs. Payal Bhumishth Patel Issue Related Terms,Not assessed (no machine-readable text).,BSE DRHP
Eastern Logica Infoway Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
EBOR INDUSTRIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Vishal Girishkumar Suthar Company Secretary; Mr. DHRUMIL BIPIN PATEL DETAILS OF OFFER; Mr. S. Ramakrishna Iyengar Telephone; Mr. R.D. Ramasamy; Mr. Vishal Girishkumar Suthar; Mr. Dhrumil Bipin Patel THE ISSUE INITIAL; Mr. Dhrumil Bipin Patel. Promoter Group Includes; Mr. Dhrumil Bipin Patel. CIN Corporate Identification; Mr. Vishal Girishkumar Suthar Registered Office Plot,Not assessed (no machine-readable text).,BSE DRHP
Ecoline Exim Ltd,Mumbai,Specialty Manufacturing (Export/Trading),ecolineexim.com,₹50–90 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Efficient Fire and Security Solutions Limited,Centre. The present,See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.efficientfire.in; www.swastika.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: ANAND BABRUVAN GADEKAR AND AARTI ANAND GADEKAR,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Eighty Jewellers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Nikesh Bardia; Mr. Tilok Chand Bardia; Mr. Nitin Kumar Bardia. DETAILS OF; Mr. Sourabh Garg Email; Mr. Swapnil Kate Email; Mr. Nitin Kumar Bardia. THE ISSUE INITIAL; Mr. Nikesh Bardia. Materiality Policy; Mr. Nitin Bardia; Mr. Nitin Kumar Bardia; Mr. Nikesh Bardia Stakeholders Relationship Committee,Not assessed (no machine-readable text).,BSE DRHP
Ekennis Software Service Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Sonali Corporate Identification Number; Ms. Manisha Sharma MOA; Ms. Manisha Sharma Promoter Group Such,Not assessed (no machine-readable text).,BSE DRHP
EKI Energy Services Limited,"LEAST 2(TWO) WORKING DAYS PRIOR TO THE BID/ ISSUE O PENING DATE AND SHALL BE MADE AVAILABLE TO BSE LIMI TED (“BSE”, REFERRED TO AS THE “STOCK EXCHANGE”) FOR THE PURPOSE OF UPLOADING ON THEIR WEBSITE IN ACCORDANCE WITH SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITALAND DISCLOSURE REQUIREMENTS) REGULATIONS, 2018, AS AMENDED (THE “SEBI ICDR REGULATIONS”).",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.enkingint.org; www.hemsecurities.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Itisha Sahu; Mr. Manish Kumar Dabkara THE ISSUE INITIAL; Mr. Manish Kumar Dabkara For; Mr. Manish Kuma,ISO certification mentioned,BSE DRHP
ElectraMed Instruments Ltd,Pune,Specialty Manufacturing (Medical Electronics),electramed.com,₹70–120 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Jan 2026,data.csv
ElectroHeal Devices Ltd,Pune,Specialty Manufacturing (Medical Electronics),electrohealdevices.com,₹70–120 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Jan 2026,data.csv
ElectroHeal Instruments Ltd,Pune,Specialty Manufacturing (Medical Electronics),electroheal.com,₹70–120 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Jan 2026,data.csv
Elfin Agro India Limited,"in name and registered office of our company, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.elfinagroindia.com; www.finshoregroup.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Khushbu Sethi Company Secretary; Mr. Vimal Kumar Daga; Mr. Deepak Pal Daga; Mrs. Seema Daga; Mrs. Neetu Daga; Mr. S. Ramakrishna Iyengar Telephone; Ms. K. Sreepriya Telephone; Ms. Khushbu Sethi; Mr. Ratan Lal Bareth,ISO certification mentioned,BSE DRHP
Emiac Technologies Limited,please refer to the chapter titled “History and Certain Corporate Matters” beginning on page 162 of the Draft Red Herring Prospectus.,See DRHP ‘Industry / Business overview’ section.,https://emiactech.com/; www.bigshareonline.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,capacity expansion; ISO certification mentioned; digital / hiring channel mention,BSE DRHP
Emmforce Autotech Limited,"2. Plot No.3&5 EPIP Phase- I, Jharmajri, Baddi Distt",See DRHP ‘Industry / Business overview’ section.,www.beelinemb.com; www.emmforce.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Parul Gupta; Mr. Ashok Mehta Place; Mr. Nikhil Shah SEBI Registration No; Mr. Ashok Mehta; Mrs. Neetu Mehta; Mr. Azeez Mehta. For; Mr. Azeez Mehta. E. PRE-ISSUE SHAREHOLDING OF; Mr. Azeez Mehta; Ms. Navya Mehta; Mr. Narinder Krishan Miglani,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Encompass Design India Ltd,Gurugram,Specialty Manufacturing (Design/Consulting),encompassdesign.in,₹30–60 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Nov 2025,data.csv
ENPROCON ENTERPRISE LIMITED,"EnProCon Enterprise Limited B-705 Mondeal heights, Nr.Wide Angle, S G Highway, Ahmedabad, Gujarat, India, 380015 Telephone: +91 79 48473809; E-mail: cs@enprocon.com Investor grievance id: investorgrievance@enprocon.com Website: https://enprocon.com/",See DRHP ‘Industry / Business overview’ section.,https://enprocon.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms Dhwani Mahendra Bothra; Mr. Mukhtiyarhusain Ruknudin Shaikh Company Secretary,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
ENS Enterprises Limited,"May 08, 2025.The CIN of our Company is U74120UP2016PLC075577. For details of incorporation, change of registered office of our Company, please refer to the section title “History and Corporate Structure” on page no. 156 of this Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,www.abhipra.com; www.corporatemakers.in; www.ens.enterprises,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Akhil Jain; Mr. Manish Kumar Srivastava July; Mr. Avinash Kumar Singh July; Mr. Anupam Kumar Srivastava July; Mr. Avinash Kumar Singh; Mr. Manish Kumar Srivastava For; Mr. Anupam Kuma; Mr. Anupam Kumar Srivastava,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
EP Biocomposites Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
EPW India Ltd,Delhi NCR,Specialty Manufacturing (Publishing/Media),epwindia.com,₹30–60 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Essex Marine Limited,TELEPHONE CORPORATE OFFICE TELEPHONE CONTACT PERSON,See DRHP ‘Industry / Business overview’ section.,www.essexmpl.com; www.kslindia.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Euphoria Infotech (India) Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Shamba Bhanja,Not assessed (no machine-readable text).,BSE DRHP
EUREKA CONVEYOR BELTINGS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Prerna Jain; Mr. Raj Kumar Khubchandani; Mr. Bharat Kumar Khubchandani; Mr. Sumit Khubchandani; Mr. Nitin Khubchandani; Mr. Puneet Khubchandani; Mrs. Bhakti Khubchandani. For; Mr. Govind Ram Mittal. ISSUE RELATED TERMS,Not assessed (no machine-readable text).,BSE DRHP
Evans Electric Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Deepak YPatil; Mr. Ivor Anthony Desouza THE ISSUE INITIAL; Mr. Ivor Anthony Desouza. For,Not assessed (no machine-readable text).,BSE DRHP
EverestIMS Technologies Limited,"No.759, Sree Gururaya Mansion, South Wing 8th Main, J.P.Nagar, III Phase, Bangalore, Karnataka, India, 560078 Ms. Vijayalaxmi Sangayya Salimath Company Secretary and Compliance Officer Email: cs@everestims.com Tel No: 080 - 46567100",See DRHP ‘Industry / Business overview’ section.,https://everestims.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Sudhakar Aruchamy,subsidiary / group structure,BSE DRHP
EVOQ REMEDIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Bhumishth Narendrabhai Patel Chairman; Mr. Mohit R. Goyal Email; Mr. Swapnil Kate Email; Mr. Tej Bharatkumar Hanj PROMOTERS OF; Mr. Bhumishth Narendrabhai Patel; Mrs. Payal Bhumishth Patel; Mr. Yogesh Rajput. Company Secretary; Mr. Tej Bharatkumar Hanj. Depositories Act; Mr. Bhumishth Patel,Not assessed (no machine-readable text).,BSE DRHP
Exato Technologies Limited,"A-33, 02nd Floor, Sector -2, Noida, Gautam Buddha Nagar, Noida, Uttar Pradesh, India, 201301. Telephone: +91 9810430894; E-mail: compliance@exato.ai Ms. Geeta Jain Company Secretary & Compliance Officer https://www.exato.ai/ PROMOTERS OF OUR COMPANY: MR. APPUORV K SINHA AND MRS. SWATI SINHA DETAILS OF THE OFFER TYPE FRESH ISSUE SIZE",See DRHP ‘Industry / Business overview’ section.,https://www.exato.ai/; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,BSE DRHP
Exhicon Events Media Solutions Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Abhishek Jain Company Secretary; Mr. Anand Srivastava Email; Mr. Abhishek Jain; Mr. Mohammad Quaim Syed; Ms. Padma Mishra THE ISSUE INITIAL PUBLIC; Ms. Padma Mishra; Ms. Padma Mishra For,Not assessed (no machine-readable text).,BSE DRHP
