Company Name,City,Industry Segment,Website,Revenue Band,Differentiation Evidence,Promoter/Decision-Maker,Growth Signals,Tailwinds,Source,CIN,Industry Segment (raw),Evidence Tags Normalized,C1_Manufacturer,C1_Notes,C2_India_Based,C2_Notes,C3_Differentiation,C3_Notes,C4_Technical_DM,C4_Notes,C5_Tailwinds,C5_Notes,C6_Growth_Signals,C6_Notes,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,_dedupe_group_size,LLM_C1,LLM_C2,LLM_C3,LLM_C4,LLM_C5,LLM_C6,LLM_Note,Blended_C1,Blended_C2,Blended_C3,Blended_C4,Blended_C5,Blended_C6,ICP_Blended_Weighted_Score,LLM_Blend_Alpha,LLM_Model,Step9_QA_Tags,Step9_QA_Flag_Count
BioAxis Therapeutics Ltd,Mumbai,Manufacturing / Industrial,bioaxisthera.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Nov 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Research),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_nov_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,22,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioCore Advanced Ltd,Mumbai,Manufacturing / Industrial,biocoreadv.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Nov 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Research),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_nov_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,23,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioCore Global Ltd,Mumbai,Manufacturing / Industrial,biocoreglobal.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Nov 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Research),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_nov_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,23,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioCore Labs Ltd,Mumbai,Manufacturing / Industrial,biocorelabs.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Nov 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Research),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_nov_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,5,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioCore Therapeutics Ltd,Mumbai,Manufacturing / Industrial,biocorethera.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Nov 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Research),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_nov_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,18,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioGenix Global Ltd,Hyderabad,Manufacturing / Industrial,biogenixglobal.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,24,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioGenix Therapeutics Ltd,Hyderabad,Manufacturing / Industrial,biogenixthera.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,19,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioLife Global Ltd,Hyderabad,Manufacturing / Industrial,biolifeglobal.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioLife Therapeutics Ltd,Hyderabad,Manufacturing / Industrial,biolifethera.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,9,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioNutra Labs Ltd,Mumbai,Manufacturing / Industrial,bionutralabs.com,₹50–90 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Nutrition),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioNutra Therapeutics Ltd,Mumbai,Manufacturing / Industrial,bionutrathera.com,₹50–90 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Nutrition),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
Biopol Chemicals Ltd,Gujarat,Manufacturing / Industrial,biopolchemicals.com,₹80–150 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Chemicals),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioPure Chemicals Ltd,Gujarat,Manufacturing / Industrial,biopurechem.com,₹80–150 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Chemicals/Biotech),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,5,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioPure Labs Ltd,Gujarat,Manufacturing / Industrial,biopurelabs.com,₹80–150 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Chemicals/Biotech),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,11,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioPure Therapeutics Ltd,Gujarat,Manufacturing / Industrial,biopurethera.com,₹80–150 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Chemicals/Biotech),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,3,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioQuest Advanced Ltd,Hyderabad,Manufacturing / Industrial,bioquestadv.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,25,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioQuest Global Ltd,Hyderabad,Manufacturing / Industrial,bioquestglobal.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,18,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioQuest Labs Ltd,Hyderabad,Manufacturing / Industrial,bioquestlabs.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Dec 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_dec_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
Bioquest Pharma Ltd,Hyderabad,Manufacturing / Industrial,bioquestpharma.com,₹90–160 Cr,no_structured_differentiation_tag,,IPO filed Dec 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_dec_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,4,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
BioQuest Therapeutics Ltd,Hyderabad,Manufacturing / Industrial,bioquestthera.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,11,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
Biovantage Labs Ltd,Bengaluru,Manufacturing / Industrial,biovantagelabs.com,₹100–180 Cr,no_structured_differentiation_tag,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,4,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
Biozyme Nutraceuticals Ltd,Mumbai,Manufacturing / Industrial,biozyme.in,₹50–90 Cr,no_structured_differentiation_tag,,IPO filed Sep 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Nutrition),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_sep_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,4,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
Bipin Offset Limited,"into Public Limited Company and name of company was changed from “Bipin Offset Private Limited” to “Bipin Offset Limited” vide fresh certificate of incorporation dated July 01, 2025. For further details, please see chapter titled """,unspecified_see_drhp,https://bipinoffset.com/,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Mrs. Radhika Parth Soni; Mr. Rakesh Bhogilal Patel; Mrs. Zinnal Rakeshkumar Patel; Mr. Rikin Bipinchandra Patel. For; Mrs. Zinnal Rakeshkumar Patel. For,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,50.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,5.0,50.0,0.0,rules_only,weak_differentiation_drhp_generics,1
Black Opal Consultants Limited,Central Processing Centre. The Corporate Identification Number of our Company is U70109DL2020PLC369011.,unspecified_see_drhp,www.blackopalgroup.in,₹2 Cr (stated),dsir_drhp_substantive_citation,DRHP: Ms. Anju Company Secretary; Mr. Chandan Mishra Email; Mr. Anuj Rana Email; Mr. Gaurav Bhardwaj. Corporate Identification Number; Ms. Anju. Corporate Office; Mr. Prasoon Chauhan; Mr. Sheikh Arfeen Ahmed; Mr. Prasoon Chauhan. Promoter Group Individuals,capex / capital expenditure; subsidiary / group structure,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,U70109DL2020PLC369011,See DRHP ‘Industry / Business overview’ section.,dsir_drhp_substantive_citation|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|subsidiary|group_structure,0,not_classified_manufacturer,0,weak_location_signal,1,dsir_substantive_drhp_citation,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,70.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,5.0,5.0,5.0,5.0,70.0,0.0,rules_only,generic_web_or_thin_ops_narrative,1
BLT LOGISTICS LIMITED,"Opening Date, with the relevant financial ratios calculated at the Floor Price and at the Cap Price, and shall be made available to the Stock Exchanges for the purpose of uploading on their respective website. Prospectus The Prospectus, to be filed with the ROC containing, inter ...",unspecified_see_drhp,www.bltlogistics.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|subsidiary|group_structure,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,1,17,15.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,rules_only,weak_differentiation_drhp_generics|generic_web_or_thin_ops_narrative,2
Brandman Retail Ltd,Delhi NCR,Manufacturing / Industrial,brandmanretail.com,₹40–80 Cr,no_structured_differentiation_tag,,IPO filed Jan 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Retail/FMCG),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_jan_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,4,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
CapitalNumbers Infotech Limited,CONTACT PERSON TELEPHONE AND EMAIL,unspecified_see_drhp,https://www.capitalnumbers.com/,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Ms. Priya Jhunjhunwala; Mr. Mohit Baid Telephone; Ms. Shanti Gopalkrishnan Tel,subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|subsidiary|group_structure,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,weak_differentiation_drhp_generics|generic_web_or_thin_ops_narrative,2
Cargotrans Maritime Limited,"DBZ-S-61A, 2nd Floor, Shyam Paragon, Gandhidham, Kachchh – 370 201, Gujarat Mrs",unspecified_see_drhp,www.bigshareonline.com; www.cargotrans.in; www.cargotrans.in/; www.hemsecurities.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Mrs. Chhayaben Mulani,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,1,india_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,60.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,0.0,5.0,5.0,5.0,60.0,0.0,rules_only,weak_differentiation_drhp_generics,1
Century Business Media Limited,"minutes, share certificates, and the statutory register maintained by the Company",unspecified_see_drhp,www.centurymedia.in; www.hemsecurities.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,2,33,35.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,5.0,35.0,0.0,rules_only,weak_differentiation_drhp_generics,1
Ceramica Advanced Materials Ltd,Surat,Manufacturing / Industrial,ceramicaadv.com,₹80–150 Cr,no_structured_differentiation_tag,,IPO filed Nov 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Ceramics/Materials),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_nov_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,4,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
